location,tag_name,flwr_number,photo_ID,area,perimeter,circularity,feret,feret_X,feret_Y,feret_angle,min_feret,aspect_ratio,roundness,solidity,OL_width_left,OL_width_right,IL_width,trough_length_left,angle_left,trough_length_right,angle_right,limitations,exclude,notes,measurements_done?
T04-G09,CRE_01,3,DSC_0179,0.554,5.029,0.275,1.743,4003.25,1608.25,98.272,0.991,1.846,0.542,0.553,0.188,0.187,0.313,0.69,49.582,0.658,-28.281,0,0,,
T04-G11,BBU_11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,,
T04-G13,MEB_12,3,DSC_0025,1.183,9.497,0.165,2.559,2502,1426,101.339,1.771,1.225,0.816,0.422,0.245,0.211,0.435,1.362,45.591,1.119,-20.794,0,0,,
T05-A03,JCP_12,3,DSC_0171,1.213,7.95,0.241,2.027,1700,3089,99.332,1.516,1.023,0.977,0.563,0.296,0.265,0.59,1.152,40.488,1.148,-31.682,0,0,,
T05-A05,JCP_14,3,DSC_0167,0.999,7.936,0.199,1.792,2167,2923,91.141,1.447,1.088,0.919,0.574,0.275,0.224,0.507,0.946,25.115,0.994,-33.347,0,0,,
T05-A07,BFF_06,3,DSC_0046,0.919,9.622,0.125,2.809,4527,2867,104.773,1.593,1.695,0.59,0.342,0.22,0.217,0.255,1.278,66.28,1.341,-26.452,1,0,,
T05-A09,BFF_17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,,
T05-A11,MEB_01,3,DSC_0136,1.155,8.419,0.205,2.407,2925,1700,92.07,1.524,1.494,0.669,0.525,0.245,0.209,0.521,0.926,24.091,0.84,-27.2,0,0,,
T05-A13,LRR_12,3,DSC_0025,1.599,10.178,0.194,2.55,4459,1606,88.363,1.858,1.149,0.87,0.512,0.422,0.415,0.632,1.348,33.378,1.322,-41.753,0,0,,
T05-B02,HES_05,3,DSC_0027,0.952,8.311,0.173,2.19,4637,1678,86.197,1.557,1.209,0.827,0.459,0.229,0.273,0.437,0.974,25.697,0.912,-23.226,0,0,,
T05-B04,OGP_16,3,DSC_0186,0.953,7.558,0.21,1.956,3709,3056.5,88.788,1.522,1.268,0.789,0.517,0.172,0.169,0.503,0.972,27.004,1.003,-33.298,2,0,may need to re-measure ,
T05-B08,BBU_05,3,DSC_0142,1.138,7.709,0.241,2.253,1982.333,2878.333,13.438,1.559,1.339,0.747,0.529,0.322,0.313,0.416,1.084,71.565,0.859,-42.979,1,0,feret angle is odd because the petal is horizontal ,
T05-B10,KAB_02,3,DSC_0180,0.666,6.992,0.171,1.706,1767,1762,99.538,1.158,1.342,0.745,0.558,0.234,0.226,0.373,0.639,30.858,0.645,-0.919,0,0,,
T05-B12,BBU_03,2,DSC_0171,0.468,4.595,0.278,1.501,3699,3124,96.959,0.806,1.71,0.585,0.588,0.186,0.143,0.198,0.598,56.929,0.599,-17.447,0,0,,
T05-B14,OGP_17,3,DSC_0142,0.878,7.305,0.207,2.017,3952.25,1395.75,119.758,1.413,1.224,0.817,0.494,0.24,0.206,0.411,0.881,55.26,0.911,-2.748,0,0,feret angle is high,
T05-C01,PMS_04,3,DSC_0038,1.23,8.816,0.199,2.088,2002,2493,107.959,1.56,1.169,0.856,0.56,0.305,0.293,0.45,1.018,46.818,1.056,-21.595,0,0,feret angle is high (107),
T05-C03,CRE_02,3,DSC_0156,1.096,7.468,0.247,2.359,1600.75,1789.75,78.103,1.499,1.536,0.651,0.525,0.218,0.243,0.484,0.983,-43.589,0.874,9.019,0,0,petal is upside down ,
T05-C05,MEB_15,3,DSC_0042,0.714,7.002,0.183,1.966,2290.667,2517,120.74,1.271,1.506,0.664,0.45,0.212,0.21,0.345,0.768,79.679,1.042,-4.521,0,0,,
T05-C07,TIC_08,3,DSC_0042,2.413,11.795,0.218,3.013,3427.5,2891,95.971,2.337,1.046,0.956,0.53,0.383,0.415,0.922,1.551,36.067,1.595,-25.866,0,0,,
T05-C09,PMS_09,4,DSC_0010,1.165,8.128,0.222,2.18,2315.5,2753.5,37.749,1.689,1.478,0.677,0.496,0.253,0.23,0.424,0.908,-16.92,1.207,-91.868,1,0,,
T05-C11,LIC_19,3,DSC_0195,1.125,9.037,0.173,2.211,4070,1418,101.172,1.577,1.286,0.777,0.501,0.277,0.342,0.556,1,44.449,0.999,-21.15,0,0,,
T05-C13,LRR_02,3,DSC_0029,1.029,7.464,0.232,2.079,3884,1373,89.009,1.355,1.565,0.639,0.56,0.222,0.23,0.547,0.974,37.801,0.927,-42.483,0,0,,
T05-D02,FUR_04,3,DSC_0029,2.176,11.563,0.205,2.55,1832,2574,171.893,2.229,1.11,0.901,0.565,0.507,0.448,0.713,1.249,17.078,1.356,-35.714,0,0,,
T05-D04,PMS_02,3,DSC_0020,1.392,8.619,0.235,2.094,2517,2503,94.147,1.656,1.099,0.91,0.579,0.294,0.27,0.545,1.209,41.558,1.224,-30.684,0,0,,
T05-D06,LRR_07,3,DSC_0023,2.107,11.949,0.185,2.86,2342,1093,93.717,2.17,1.206,0.829,0.536,0.342,0.337,0.724,1.325,35.438,1.47,-22.521,0,0,,
T05-D08,CRE_12,3,DSC_0174,1.338,9.754,0.177,2.382,1631,1747,66.949,1.795,1.03,0.971,0.523,0.379,0.315,0.469,0.964,11.155,0.921,-10.416,0,0,,
T05-D10,MEB_05,3,DSC_0034,2.516,10.816,0.27,2.989,3967,1594.333,61.118,2.193,1.196,0.836,0.594,0.458,0.497,0.873,1.801,-2.272,1.044,-62.734,1,0,"also photographed in DSC_0137, honestyl, may want to use that flower instead",
T05-D12,TIC_03,3,DSC_0156,1.346,10.051,0.167,2.236,3402,1364,95.936,1.763,1.158,0.863,0.517,0.304,0.284,0.654,1.152,31.718,1.116,-22.969,0,0,,
T05-D14,MEB_19,3,DSC_0161,1.376,9.609,0.187,2.175,4180,2868,95.989,1.67,1.141,0.877,0.598,0.316,0.333,0.603,0.913,18.576,0.84,-15.68,0,0,,
