location,tag_name,flwr_number,photo_ID,area,perimeter,circularity,feret,feret_X,feret_Y,feret_angle,min_feret,aspect_ratio,roundness,solidity,OL_width_left,OL_width_right,IL_width,trough_length_left,angle_left,trough_length_right,angle_right,limitations,exclude,notes,measurements_done?
T07-A11,KAB_06,3,DSC_0194,0.539,5.247,0.246,1.471,1879,3031,94.764,0.932,1.386,0.721,0.613,0.256,0.216,0.331,0.495,35.48,0.499,-18.513,0,0,,
T07-A13,FUR_07,3,DSC_0138,1.391,8.57,0.238,2.142,2468,1661,73.034,1.667,1.089,0.918,0.609,0.387,0.351,0.535,1.132,9.655,0.877,-46.564,0,0,,
T07-B02,GPN_05,3,DSC_0185,1.066,8.824,0.172,2.266,1707,2957,95.115,1.612,1.42,0.704,0.472,0.229,0.185,0.575,1.119,38.938,1.067,-29.745,0,0,,
T07-B04,KAB_05,3,DSC_0166,0.839,8.725,0.139,2.019,2281,2883,98.236,1.363,1.403,0.713,0.469,0.234,0.185,0.329,0.756,18.908,0.62,-5.937,0,0,,
T07-B06,HES_14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,,
T07-B08,LRR_14,3,DSC_0021,1.274,9.28,0.186,2.165,1602,1289,94.694,1.664,1.313,0.762,0.536,0.195,0.319,0.659,1.074,35.732,0.973,-20.904,1,0,,
T07-B10,PMS_12,3,DSC_0139,0.706,6.442,0.214,1.763,2364.5,3261.5,83.392,1.229,1.417,0.706,0.537,0.171,0.18,0.376,0.875,27.607,0.705,-36.176,0,0,,
T07-B12,CRE_14,3,DSC_0157,1.206,8.264,0.222,2.215,3779,1813,82.828,1.591,1.283,0.779,0.55,0.3,0.31,0.574,0.935,31.346,1.126,-39.8,0,0,,
T07-B14,BRD_04,3,DSC_0159,1.045,9.286,0.152,2.393,2584,1301,101.487,1.575,1.082,0.925,0.404,0.299,0.32,0.389,1.332,59.452,1.237,-28.124,0,0,,
T07-C01,CRE_06,2,DSC_0170,0.642,6.173,0.212,1.776,2273,2001,84.005,1.14,1.487,0.672,0.507,0.212,0.229,0.331,0.874,39.196,0.773,-49.943,0,0,,
T07-C03,OGP_18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,only flowered once,
T07-C05,JCP_11,3,DSC_148,0.591,5.966,0.209,1.377,2822,1203,83.337,1.068,1.268,0.788,0.587,0.219,0.218,0.384,0.771,32.635,0.825,-49.399,0,0,,
T07-C07,BRD_08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,dead; didn't produce third flower beforehand ,
T07-C09,BFF_12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,not captured in time ,
T07-C11,OGP_03,3,DSC_0037,1.232,9.087,0.188,2.155,2484,3340,87.23,1.573,1.196,0.836,0.595,0.297,0.274,0.528,0.808,18.539,0.895,-17.65,0,0,,
T07-C13,BBU_14,3,DSC_0139,0.943,6.634,0.269,1.859,3957.5,3266.5,82.521,1.388,1.093,0.915,0.555,0.268,0.278,0.483,1.094,31.518,1.034,-46.488,0,0,,
T07-D02,STM_14,3,DSC_0028,1.309,10.108,0.161,2.172,3770,1422,106.184,1.58,1.16,0.862,0.553,0.377,0.327,0.663,0.989,26.906,1.23,-30.543,0,0,,
T07-D04,FUR_09,3,DSC_0153,1.207,8.883,0.192,2.401,2089,1365,93.02,1.398,1.624,0.616,0.534,0.304,0.261,0.472,0.965,51.08,0.99,-21.672,0,0,,
T07-D06,STM_18,3,DSC_0023,1.81,9.629,0.245,2.444,4228,2803.5,91.023,1.828,1.132,0.884,0.593,0.525,0.444,0.752,1.377,31.443,1.137,-40.931,0,0,,
T07-D08,LRR_08,3,DSC_0012,1.232,8.878,0.196,2.37,1707.667,1732.667,87.368,1.732,1.406,0.711,0.474,0.217,0.224,0.515,1.115,23.856,1.222,-37.813,1,0,,
T07-D10,HES_03,3,DSC_0163,1.085,8.801,0.176,2.536,1882,2129,80.662,1.619,1.71,0.585,0.452,0.188,0.206,0.493,0.983,22,0.38,-31.684,0,0,,
T07-D12,FUR_18,3,DSC_0026,1.826,9.571,0.251,2.692,2566.667,1817.333,89.213,1.953,1.3,0.769,0.571,0.284,0.316,0.689,1.101,27.933,1.224,-24.925,0,0,,
T07-D14,CRE_17,3,DSC_0180,1.103,7.253,0.263,1.807,2043.333,3049.667,100.853,1.369,1.09,0.917,0.587,0.332,0.318,0.628,1.181,38.007,1.065,-36.573,0,0,,
T07-E01,LIC_10,3,DSC_0196,0.701,7.019,0.179,1.759,2303,1610,78.29,1.207,1.381,0.724,0.54,0.244,0.234,0.389,0.727,14.216,0.702,-44.458,0,0,,
T07-E03,MEB_20,2,DSC_0166,1.161,7.856,0.236,2.275,4045,2884,94.475,1.537,1.364,0.733,0.55,0.242,0.243,0.535,1.026,38.583,0.943,-19.403,0,5,,
T07-E05,LRR_19,3,DSC_0165,0.571,5.909,0.205,1.484,2268,2846,110.647,1.052,1.335,0.749,0.57,0.178,0.19,0.344,0.677,43.394,0.57,-6.762,0,0,,
T07-E07,OGP_12,3,DSC_0165,0.639,5.686,0.249,1.533,4077,3171,83.466,1.139,1.113,0.898,0.582,0.246,0.224,0.418,0.706,19.813,0.725,-38.618,0,0,,
T07-E09,JCP_08,2,DSC_0178,0.139,2.562,0.267,0.871,4218,3139,97.684,0.454,2.168,0.461,0.613,0.085,0.11,0.139,0.323,50.454,0.308,-33.808,0,0,,
T07-E11,KAB_16,3,DSC_0138,0.337,4.943,0.173,1.262,3944,1497,95.366,0.803,1.504,0.665,0.548,0.165,0.152,0.194,0.41,41.338,0.538,-29.89,0,0,,
T07-E13,LIC_01,3,DSC_0195,0.327,3.771,0.289,1.176,2673,1568,98.645,0.765,1.58,0.633,0.603,0.148,0.137,0.292,0.529,45.521,0.496,-27.795,0,0,,
T07-F02,HES_06,3,DSC_0136,1.288,9.053,0.198,2.118,2782,3224,78.152,1.713,1.019,0.981,0.525,0.353,0.352,0.516,1.138,21.666,1.067,-42.797,0,0,,
T07-F04,FUR_17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,,
T07-F06,BRD_19,3,DSC_0159,0.575,5.138,0.274,1.774,4026,1459,90.81,0.946,1.791,0.558,0.585,0.285,0.276,0.367,0.602,40.99,0.601,-43.52,1,0,,
T07-F08,CRE_16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,,
T07-F10,FUR_13,3,DSC_0147,1.83,12.445,0.148,2.999,2592,1247,90.509,2.143,1.222,0.819,0.466,0.311,0.348,0.506,1.229,19.933,1.244,-27.269,0,0,,
T07-F12,JCP_01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,never germinated,
T07-F14,MEB_13,3,DSC_0030,2.171,10.639,0.241,2.884,2047,1295,89.442,2.05,1.128,0.886,0.573,0.646,0.512,0.621,1.328,35.538,1.359,-34.265,0,0,,
T07-G01,TIC_19,3,DSC_0043,0.879,6.365,0.272,1.784,2198,2903,102.312,1.309,1.124,0.889,0.585,0.284,0.214,0.528,1.018,51.067,0.869,-19.301,0,0,,
T07-G03,GPN_09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,dead,
T07-G05,OGP_10,3,DSC_0141,0.625,6.129,0.209,1.64,2144,3136,76.446,1.093,1.291,0.774,0.529,0.221,0.204,0.378,0.825,19.138,0.811,-58.821,0,0,,
T07-G07,TIC_07,3,DSC_0032,1.035,8.528,0.179,2.171,1943,1045,93.507,1.45,1.562,0.64,0.526,0.206,0.198,0.555,1.128,43.493,0.971,-30.999,0,0,,
T07-G09,SUC_08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1, 4",dead; aphid damage,
T07-G11,PMS_15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,,
T07-G13,BRD_12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,never germinated,
